label,0,1
(I Cant Get No) Satisfaction_clean.wav,-17.449694085717276,385.8414423660659
Ajab Si_clean.wav,-1155.3143351936908,-418.6175774125661
Ajib Dastan Hai Yeh_clean.wav,3030.0334702927094,-47.897541733135725
All Along The Watchtower_clean.wav,-781.2157458820634,210.19943481123337
All of Me_clean.wav,-35.93804066815737,146.78000092377656
And So It Goes_clean.wav,2724.5882985211647,118.13331177623304
Anjaana Anjaani Ki Kahani_clean.wav,-965.4728987902885,-471.3070148933921
At Last_clean.wav,1167.1229465704848,341.62031509615787
Billie Jean_clean.wav,-3330.5595164234182,68.07638041606944
Bitter Sweet Symphony_clean.wav,63.3439711745211,98.0966134525789
Bohemian Rhapsody_clean.wav,552.31676339726,61.586184982382754
Californication_clean.wav,-133.68313750241808,-119.37497403057198
Call Me Maybe_clean.wav,-2527.4458819192923,239.9733299984392
Channa Mereya_clean.wav,341.2493649090143,-463.99194482345564
Come As You Are_clean.wav,-940.591980642955,16.69007444594424
Dont Let Me Down_clean.wav,98.81200023509679,14.203903833690624
Elvis Presley_clean.wav,649.5187195365523,321.0655229926199
Gimme Shelter_clean.wav,1538.9178875471832,-4.116048141444765
Gold on the Ceiling_clean.wav,-887.2149967419264,-98.55983818222603
Good Vibrations_clean.wav,649.4368135738034,102.10773531756215
Hakuna Matata_clean.wav,526.3225197911439,-67.80082790736795
Hedwigs Theme_clean.wav,2232.623440063808,81.73958264882036
Hey Jude [blank]_clean.wav,-768.3819703224466,180.30200138556083
Highway to Hell_clean.wav,-1243.9332466618332,299.28218824611395
Hothon Se Chhulo Tum_clean.wav,3864.041290537513,740.2661668880276
Humsafar_clean.wav,730.8386328331836,-290.7169591532813
I Have Nothing_clean.wav,-1171.137986156303,-30.50429859402485
I Wanna Dance With Somebody_clean.wav,-3382.7735980181956,501.19756530962013
I Will Always Love You_clean.wav,1061.780111324551,-106.98457504848102
Im Yours_clean.wav,774.2683030273436,-214.44741481450131
In the End_clean.wav,127.78852603607614,-35.55516476226086
Its My Life_clean.wav,3184.288761538892,318.24100720595413
Just the Way You Are_clean.wav,-1136.6090227572158,-76.18694546936166
Lag Jaa Gale_clean.wav,1640.8145448115122,352.3523906314714
Let Her Go_clean.wav,-369.10604521711167,-190.42739586592074
Let It Go_clean.wav,1061.1730616662867,42.516494602375424
Like a Prayer_clean.wav,-1830.545339522438,143.53971684475422
Love Me Like You Do_clean.wav,329.7201346547134,-135.13242436985792
Maana Ke Hum Yaar Nahin_clean.wav,-2189.8728616987255,-299.9938972799963
Mamma Mia Video_clean.wav,-83.91657216490752,188.6494331681133
Mrs Robinson (Audio)_clean.wav,44.50335866338827,-30.411453001364226
My Way_clean.wav,1181.7029621835686,160.42381034079023
Nazm Nazm_clean.wav,-128.01058119291616,-292.8986400419237
Never Gonna Give You Up_clean.wav,-2221.2226723281956,385.6155819237494
Numb_clean.wav,-945.8745972076888,-134.76931537901356
Paint It Black_clean.wav,246.3811024184264,317.6503846310018
Paradise City_clean.wav,-601.7413406445025,139.26376086941292
Pee Loon_clean.wav,271.2370062152932,-17.332408653388622
Perfect_clean.wav,385.4585543731726,-161.32079397647766
Pink Panther Theme_clean.wav,-824.178608892424,-147.31737155563093
Poison_clean.wav,-16.007216012576063,306.4058661278092
Radioactive_clean.wav,75.52203008990107,116.93889350481693
Rock And Roll Hoochie Koo_clean.wav,-246.99241282871697,51.63926628070766
Rock n Roll_clean.wav,-2287.469512760546,156.92537812150874
Saibo_clean.wav,-1427.6140003973399,-210.46518776210678
Save the last dance for me_clean.wav,-102.4756267695695,-261.70692853427386
Scream & Shout_clean.wav,-191.7181814146939,-203.45256023210226
Shape of You_clean.wav,-774.882929071592,-61.57628746094294
Singin in the Rain_clean.wav,2145.0430593625197,463.62469950987355
Single Ladies_clean.wav,-2908.1022609641855,255.15304562757913
Smells Like Teen Spirit_clean.wav,-1002.6504269258072,125.6413596764209
Someone Like You_clean.wav,1774.596455276589,-44.562922636497674
Song 2_clean.wav,-1192.0068657274321,134.63337263440232
Stand By Me_clean.wav,1939.5603179041623,-228.7393353930409
Stay With Me_clean.wav,2142.2443365717786,-296.33015567924474
Still DRE_clean.wav,-1747.679497898776,-79.86626418157768
Subhanallah_clean.wav,-2652.124618805089,-111.66604991426982
Sugar_clean.wav,-382.2320336851329,-68.74251399370539
Summer of 69_clean.wav,-106.96738272605316,63.981005669903254
Sweet Child O Mine_clean.wav,-751.8309683637681,248.33119987825933
The Imperial March_clean.wav,1767.5452124523606,75.09569501166344
Thinking out Loud_clean.wav,526.4595893283337,-192.60519213127625
This Is Me_clean.wav,-338.3741886592047,-132.09804291284473
Thriller_clean.wav,-39.37141143174693,232.57885775095764
Turn! Turn! Turn!_clean.wav,-105.67077223985922,321.95669239398956
Unchained Melody_clean.wav,799.8894647146352,204.9741700201163
Viva la Vida_clean.wav,1244.231957785221,-91.0512954564096
What A Wonderful World_clean.wav,2532.7959666867323,-232.79860256178628
Africa_clean.wav,-891.2139834471897,-260.7681356295706
Alag Aasmaan_clean.wav,1322.213760453922,-79.76737327539604
End of Beginning_clean.wav,-1.607571392770739,-270.5270668731092
Gangnam Style_clean.wav,-1974.9882204871737,-45.449367854281746
Gulabi Aankhen_clean.wav,-830.1059457909328,-343.99593237834154
Hai Apna Dil To Aawara_clean.wav,-126.39694552810697,-254.6396604713219
Hips Dont Lie_clean.wav,-582.0330219925952,128.49194493175057
Ikk Kudi_clean.wav,640.7677556669876,-462.73973670931395
Karma Police_clean.wav,-280.85154231588456,-194.5065500342177
