filename,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,mfcc_var_14,mfcc_var_15,mfcc_var_16,mfcc_var_17,mfcc_var_18,mfcc_var_19,mfcc_var_20
Nazm Nazm_clean.wav,-130.73958,147.3962,-4.380594,40.50482,-10.270855,27.461172,-10.842407,7.6263742,-7.5707374,4.415301,-7.7171154,2.106899,-4.165877,-1.7327746,1.9951019,-5.4258075,-0.06013623,-2.252167,1.8535856,-7.523088,77.051056,32.472363,17.498274,17.580595,18.430801,17.603758,12.62773,12.6118,12.847125,11.881335,10.987272,11.853079,10.038906,8.823686,8.616668,9.785855,9.058107,10.565299,10.622147,8.790703,5936.865,1054.4542,306.1896,309.0773,339.69446,309.8923,159.45958,159.05751,165.04861,141.16614,120.72016,140.49547,100.77964,77.85742,74.24696,95.76297,82.0493,111.62555,112.83,77.27645
Never Gonna Give You Up_clean.wav,-127.90366,130.79556,-48.360954,52.033756,-24.724773,27.097446,-21.618273,11.562427,-8.852847,2.617168,-8.645784,1.2189225,1.1221374,-4.466814,-1.0059427,-0.62735677,3.0940087,-6.0419726,3.432696,-3.9475133,77.48067,29.13485,20.468838,18.859528,14.642186,13.843611,12.893151,11.552542,11.90323,9.728185,10.574687,8.771498,8.225054,7.8244247,6.971351,7.6180196,6.9124346,7.4317055,6.7378874,7.0775456,6003.2534,848.8395,418.9733,355.68176,214.39362,191.64557,166.23335,133.46123,141.68687,94.63758,111.824005,76.93918,67.65151,61.221622,48.599735,58.03422,47.78175,55.230247,45.399128,50.091652
Numb_clean.wav,-68.17631,139.6471,-41.391544,40.255337,-12.094091,23.42275,-13.0208645,14.073142,-6.7919507,11.473337,-0.20075382,7.7789264,1.4237026,4.3627925,2.1234064,1.3460172,2.262243,-2.3163078,3.4971178,-2.5140266,85.99845,30.821465,18.791077,18.217148,13.074727,12.751188,10.027005,14.374845,7.5615773,8.76167,8.028716,9.086849,7.384827,8.129016,7.2032843,6.8572536,7.529091,6.333907,6.2063255,7.0508785,7395.734,949.9627,353.10458,331.86447,170.94849,162.5928,100.540825,206.63617,57.177452,76.76687,64.46029,82.57083,54.53567,66.080894,51.887306,47.021923,56.68721,40.118378,38.518475,49.71489
Paint It Black_clean.wav,-137.17575,157.67035,-59.353565,53.81433,0.995476,13.707889,3.2893457,5.750756,5.450553,1.0733715,3.201713,-2.2979708,4.8230247,1.5117669,1.3215454,-0.55938935,-0.10714854,-0.90049344,-1.2776661,0.64408016,85.31322,33.553333,21.63711,18.607702,15.071077,12.569529,10.2760725,8.54975,7.7340837,7.179113,6.537453,6.489791,6.838918,6.171698,6.20717,6.5568237,6.6878524,5.8776617,5.7781315,5.9972167,7278.3447,1125.826,468.16455,346.24658,227.13737,157.99304,105.597664,73.098236,59.816048,51.53966,42.738293,42.117386,46.770805,38.089855,38.52896,42.991936,44.72737,34.54691,33.386803,35.966606
Paradise City_clean.wav,-115.35938,148.49869,-58.805874,39.114094,-8.596416,20.771511,-13.005777,19.122555,-11.921809,7.8839226,-6.371887,3.104628,-0.3937666,-1.1023791,-1.7257288,-1.6549563,-2.48082,-5.3697762,1.9733737,-5.9981165,63.9781,22.042755,14.775596,18.122854,12.3801565,11.705198,10.039185,11.933748,9.034844,10.207745,7.960216,8.577032,7.0442076,6.534227,6.308178,6.5756207,6.12487,6.1783586,6.2640886,6.111023,4093.197,485.88303,218.31824,328.43784,153.26828,137.01167,100.785225,142.41434,81.62842,104.198044,63.365036,73.56548,49.62086,42.69612,39.79311,43.23879,37.51403,38.172115,39.238808,37.3446
Pee Loon_clean.wav,-192.5471,144.51314,-23.331547,46.569202,-7.916201,19.18537,-7.0370874,4.356367,-10.033497,-6.016998,-6.4888296,0.5900781,0.67039394,-5.163833,-0.9615579,-8.961854,-2.3126686,-4.697794,0.19232091,-5.2219014,70.2413,26.521406,25.486311,20.710918,16.79575,15.065137,12.440512,11.0705385,11.158486,10.634086,9.185641,8.821409,8.377315,7.829525,8.090464,8.631867,8.257066,7.9423676,7.9325805,8.803474,4933.841,703.385,649.552,428.94214,282.0972,226.95836,154.76633,122.55682,124.51181,113.08377,84.37601,77.81725,70.179405,61.301464,65.455605,74.50914,68.17913,63.0812,62.925835,77.50116
Perfect_clean.wav,-117.6908,145.89732,-20.563978,51.690796,2.3412004,19.565645,-7.6638527,9.376069,-3.328503,-1.4905338,-0.50469387,4.419353,-3.8247907,-1.0854018,-1.1638674,-7.4860373,-1.1430871,0.40916827,-1.3190634,-7.0456734,98.15554,33.265324,29.814856,22.152618,19.246737,16.917637,13.116382,12.173973,10.591812,11.541479,9.937775,11.825252,8.605475,8.585637,9.033777,9.874246,9.011662,8.290229,8.021696,8.569698,9634.51,1106.5818,888.92566,490.7385,370.4369,286.20642,172.03946,148.20561,112.18649,133.20575,98.75936,139.83658,74.0542,73.713165,81.60912,97.50073,81.21004,68.7279,64.3476,73.439735
Pink Panther Theme_clean.wav,-193.46884,131.63031,-0.5350288,39.162582,-0.9218641,22.835487,-8.60345,17.508024,1.6401441,0.6023995,2.0530283,0.98520297,-0.16591512,1.5381631,-0.08998011,-3.9191287,1.6369278,-0.44050753,2.0903466,-5.6042843,79.85631,32.687912,34.495396,18.569693,17.846603,14.160585,14.038757,11.584558,12.245375,13.037738,10.141525,8.70704,9.237554,9.824384,7.068284,9.027809,7.870697,8.683114,8.34486,9.041561,6377.03,1068.4995,1189.9323,344.83347,318.50128,200.52217,197.0867,134.20197,149.9492,169.98262,102.85053,75.81254,85.332405,96.51852,49.960636,81.50134,61.947872,75.39647,69.63669,81.74983
Poison_clean.wav,-153.89145,154.85211,-65.71424,47.152843,-4.3458233,20.448404,-13.039158,14.104445,-1.9227575,7.799881,2.7290974,0.7606005,2.636539,-4.5505886,5.607798,-6.513867,1.056129,-4.776615,0.2370026,-3.1035,84.39356,27.83451,22.439388,16.921068,21.77904,15.30554,11.826629,10.243998,9.78656,9.5676985,9.070906,7.531508,7.157018,7.1797686,7.1784744,6.6419034,6.4836802,7.022882,6.5241885,6.7642217,7122.274,774.76,503.52615,286.32257,474.32654,234.25957,139.86914,104.93948,95.77675,91.54086,82.281334,56.72361,51.222908,51.54908,51.530495,44.11488,42.038113,49.32087,42.565037,45.754692
Radioactive_clean.wav,-241.24292,153.1975,-26.005741,29.296202,-4.4283934,14.274589,-5.142148,6.4534993,1.1324462,5.9211392,-0.94176126,4.164808,2.2342117,2.0105128,3.3958097,1.0292583,2.469007,0.5619345,3.0906034,-1.963464,115.98304,47.579487,28.328812,21.488876,16.64629,14.0665,11.051675,12.137545,9.748674,8.802488,8.894318,8.963316,7.856415,8.312697,7.5387044,6.900855,7.155977,6.6984425,6.217534,6.5757737,13452.065,2263.8076,802.52155,461.77182,277.09894,197.86641,122.13952,147.31999,95.03666,77.483795,79.10888,80.341034,61.72325,69.10094,56.832066,47.6218,51.208,44.86913,38.65773,43.240803
